"","V1"
"Formation 8",4
"Camp One Ventures",4
"Microsoft Ventures Accelerator Seattle",1
"HWVP",4
"Innovation Endeavors",1
"Marker",1
"Pantera Capital",1
"Grace Beauty Capital",1
"Imagine K12",3
"Catamount Ventures",3
"Burch Creative Capital",1
"Mousse Partners",1
"Revolution LLC",1
"Mesa Ventures",1
"Serra Ventures",1
"Vaizra Investments",1
"Joanne Wilson",1
"Forerunner Ventures",1
"Chicago Ventures",1
"Upfront Ventures",1
"Mucker Capital",1
"Visionnaire Ventures",1
"OReilly AlphaTech Ventures",1
"Commerce Ventures",1
"Max Levchin",1
"Technology Crossover Ventures",1
"Primary Venture Partners",1
"Kapor Capital",3
"Learn Capital",3
"co.lab",3
"Flashstarts",3
"Rethink Education",3
"LearnLaunchX",3
"Alchemist Accelerator",4
"Fuel Capital",4
"The Brandery",1
"Ellen Levy",1
"UpWest Labs",1
"Maxfield Capital",1
"Tekton Ventures",1
"The Westly Group",1
"FCA Venture Partners",4
"BlueCross BlueShield Venture Partners",5
"Vertex Ventures",5
"Ascension Ventures",5
"Recruit Strategic Partners",5
"Sandbox Industries",5
"Augment Ventures",1
"VentureTech Alliance",1
"Edison Partners",4
"Sageview Capital",4
"Catalyst Investors",4
"Launch Tennessee",5
"Kickstart Seed Fund",4
"Advantage Capital Partners",4
"Lighter Capital",4
"Wavemaker Partners",4
"Origin Ventures",4
"Paul Buchheit",4
"Rally Ventures",4
"Deep Fork Capital",4
"Kevin Hale",4
"F-Prime Capital Partners",5
"Hyde Park Venture Partners",4
"Lightbank",4
"S3 Ventures",4
"Amplify Partners",4
"Grotech Ventures",4
"Accel-KKR",4
"KEC Ventures",4
"Benchmark",4
"North Coast Angel Fund",4
"Drive Capital",4
"GE Ventures",4
"Plymouth Ventures",4
"SURGE Accelerator",4
"Matrix Partners",4
"Third Point Ventures",4
"Spectrum Equity",4
"Sigma Partners",4
"Voyager Capital",4
"Cultivation Capital",5
"BYU Cougar Capital",4
"Rothenberg Ventures",4
"Toba Capital",4
"Karlin Ventures",4
"FirstMark Capital",4
"EPIC Ventures",4
"Jumpstart Ventures",4
"Rocket Ventures",4
"TVC Capital",4
"Solidus Company",4
"Split Rock Partners",4
"Greenspring Associates",4
"REach",4
"Arthur Ventures",4
"Cisco",4
"Rembrandt Venture Partners",4
"Robin Hood Ventures",4
"Matchstick Ventures",4
"Social Leverage",4
".406 Ventures",4
"PV Ventures",4
"Idealab",4
"zPark Capital",4
"River Cities Capital Funds",4
"Divergent Ventures",4
"Victory Park Capital",1
"Mountain Group Capital",5
"Thrive Capital",1
"Ben Narasin",1
"SierraMaya360",1
"Converge Venture Partners",1
"SR One",5
"Amgen Ventures",5
"Lilly Ventures",5
"Alta Partners",5
"Asset Management Ventures (AMV)",5
"Mayo Clinic Rochester",5
"Sofinnova Ventures",5
"Square 1 Bank",5
"Broadview Ventures",5
"Perceptive Advisors",5
"Third Rock Ventures",5
"Jennison Associates",5
"Fletcher Spaght Ventures",5
"Celgene",5
"Vivo Ventures",5
"Clarus Ventures",5
"The Column Group",5
"Frazier Healthcare Partners",5
"RA Capital Management",5
"iSELECT FUND",5
"Claremont Creek Ventures",5
"TPG Biotech",5
"Adage Capital Management",5
"China Rock Capital",4
"MPM Capital",5
"Horizon Technology Finance",5
"Cherrystone Angel Group",5
"Pfizer Venture Investments",5
"CMEA Capital",5
"Flagship Ventures",5
"Deerfield Capital Management",5
"Redmile Group",5
"Rock Springs Capital",5
"Alliance of Angels",5
"Morgenthaler Ventures",5
"Osage University Partners",5
"Wellington Management",4
"BioGenerator",5
"CincyTech",5
"Hercules Technology Growth Capital",5
"BioStar Ventures",5
"5AM Ventures",5
"National Institutes of Health",5
"RiverVest",5
"Dutchess Opportunity Fund",7
"Lowercase Capital",2
"Betaworks",2
"Storm Ventures",4
"Bullpen Capital",4
"Pejman Mar Ventures",4
"Arnold Capital",4
"GGV Capital",4
"Flybridge Capital Partners",4
"Meritech Capital Partners",4
"Adams Street Partners",4
"Genacast Ventures",4
"Western Technology Investment",4
