"","company_name","investor_name"
"82","365 Retail Markets","Plymouth Ventures"
"83","36Kr","ANT Financial"
"84","3Claps","Primer"
"85","3D By Flow","Startupbootcamp"
"86","3D Intelligent Pathological Medical Image Solutions","Cyberport Hong Kong"
"87","3D Robotics","Atlantic Bridge"
"88","3D Robotics","Danhua Capital"
"89","3D Robotics","Foundry Group"
"90","3D Robotics","Mayfield Fund"
"91","3D Robotics","O'Reilly AlphaTech Ventures"
"92","3D Robotics","Qualcomm Ventures"
"93","3D Robotics","SanDisk Ventures"
"94","3D Robotics","Shea Ventures"
"95","3D Robotics","SK Ventures"
"96","3D Robotics","True Ventures"
"97","3D Robotics","WestSummit Capital"
"98","3D4Medical.com","Malin"
"99","3DIVAZ","Saffa Bürgschaftsgenossenschaft"
"100","3PL Central","Mainsail Partners"
"101","3TEN8","Alchemist Accelerator"
"102","3TEN8","Christian Dahlen"
"103","3TEN8","Citrix Startup Accelerator"
"104","3TEN8","Karlin Ventures"
"105","3TEN8","Ken Arnold"
"106","3TEN8","Launchpad LA"
"107","3TEN8","Undisclosed Venture Capital Fund"
"108","3VR","Opus Bank"
"109","480 Biomedical","Broadview Ventures"
"110","4Deep","GUANGZHOU BOSMA CORP"
"111","4moms","Bain Capital Ventures"
"112","4moms","Castanea"
"113","4moms","West Capital Advisors LLC"
"114","4screens","MCI Capital SA"
"115","4screens","National Capital Fund"
"116","500px","Andreessen Horowitz"
"117","500px","ff Venture Capital"
"118","500px","Harrison Metal"
"119","500px","Suntech Power"
"120","500px","Visual China Group"
"121","51CTO","TBP Capital"
"122","51CTO","Wu Zhengyu"
"123","51tour","Chinese venture firms"
"124","51tour","Legend Capital"
"125","51wofang 无忧我房","Lightspeed China Partners"
"126","51yongche","Baidu"
"127","51yongche","Sequoia Capital"
"128","51Zhangdan","GGV Capital"
"129","52masterworks","Wayra"
"130","58 Daojia","Alibaba"
"131","58 Daojia","KKR (Kohlberg Kravis Roberts & Co.)"
"132","58 Daojia","Ping An"
"133","6sense","Bain Capital Ventures"
"134","6sense","Battery Ventures"
"135","6sense","Venrock"
"136","700Bike","Banyan Capital Partners"
"137","700Bike","China Growth Capital"
"138","700Bike","IDG Capital Partners"
"139","7Park Data","Mueller Ventures"
"140","850 Sports News Digest","iBus Media Network"
"141","8fit - Fitness for the rest of us","Mark Evans"
"142","8fit - Fitness for the rest of us","VitaminaK"
"143","8i","Advancit Capital"
"144","8i","Bertelsmann Digital Media Investments"
"145","8i","Boost VC"
"146","8i","Dolby Family Ventures"
"147","8i","Founders Fund"
"148","8i","Freelands Ventures"
"149","8i","Horizons Ventures"
"150","8i","Inevitable Ventures"
"151","8i","Jeremy Stoppelman"
"152","8i","John S. Hendricks"
"153","8i","Kevin Wall"
"154","8i","Kortschak Investments, L.P."
"155","8i","Rothenberg Ventures"
"156","8i","RRE Ventures"
"157","8i","Samsung Ventures"
"158","8i","Signia Venture Partners"
"159","8i","Sound Ventures"
"160","8tracks Radio","Silicon Valley Bank"
"161","8WOOD","Ideosource"
"162","908 Devices","ARCH Venture Partners"
"163","908 Devices","Razor's Edge Ventures"
"164","908 Devices","Saudi Aramco Energy Ventures"
"165","908 Devices","Schlumberger Limited"
"166","908 Devices","UTEC- University of Tokyo Edge Capital"
"167","90min","Battery Ventures"
"168","90min","Dawn Capital"
"169","90min","Gemini Israel Ventures"
"170","90min","ProSiebenSat.1 Media SE"
"171","91App","91Capital"
"172","91App","appWorks Ventures"
"173","91App","CID Group"
"174","91App","Jan Hung-Tze"
"175","91App","Paul Lin"
"176","99.co","Eduardo Saverin"
"177","99.co","Sequoia Capital"
"178","99chairs","High-Tech Gruenderfonds"
"179","99cloud","Intel Capital"
"180","99designs","Accel"
"181","99designs","Recruit Strategic Partners"
"182","99Games Online Private Limited","Ascent Capital Group"
"183","99Games Online Private Limited","Kalaari Capital"
"184","99Taxis","Monashees Capital"
"185","99Taxis","Qualcomm Incorporated"
"186","99Taxis","Qualcomm Ventures"
"187","99Taxis","Tiger Global Management"
"188","9th Dimension Biotech","SOSV"
"189","A Plus","Social Starts"
"190","A Plus","Vayner/RSE"
"191","A-76 Technologies","James Thompson"
"192","A-76 Technologies","Mark Dice"
"193","A-76 Technologies","Nazmark"
"194","A-76 Technologies","Southern Funds Group"
"195","A&L Technology","Crystal Stream Capital"
"196","Aasaanjobs","IDG Ventures India"
"197","Aasaanjobs","Inventus Capital Partners"
"198","Abcodia","Albion Ventures"
"199","Abcodia","Cambridge Innovation Capital"
"200","Abcodia","Creandum"
"201","Abcodia","Scottish Equity Partners (SEP)"
"202","Abcodia","UCLB"
"203","Abeona Therapeutics","George Soros"
"204","AbilTo",".406 Ventures"
"205","AbilTo","BlueCross BlueShield Venture Partners"
"206","AbilTo","HLM Venture Partners"
"207","AbilTo","Sandbox Industries"
"208","Abingdon Health","Imperial Innovations"
"209","aBioBot","Indie Bio"
"210","aBioBot","SOSV"
"211","Abios Gaming","Bonnier Growth Media"
"212","Able Lending","Blumberg Capital"
"213","Able Lending","Expansion Venture Capital"
"214","Able Lending","Peterson Partners"
"215","Able Lending","RPM Ventures"
"216","Able Lending","SierraMaya360"
"217","Able Lending","ZenStone Venture Capital"
"218","ablio","Euroventures Capital Advisory"
"219","ABODO","Dundee Venture Capital"
"220","ABODO","Lakewest Venture Partners"
"221","aboutLife","Kleiner Perkins Caufield & Byers"
"222","Abovo42 Corporation","Link Ventures"
"223","Abra","American Express Ventures"
"224","Abra","Arbor Ventures"
"225","Abra","Blockchain Capital"
"226","Abra","Carthona Capital"
"227","Abra","First Round"
"228","Abra","Jungle Ventures"
"229","Abra","Pantera Capital"
"230","Abra","Ratan Tata"
"231","Abra","RRE Ventures"
"232","Abra","Silicon Badia"
"233","Abracon","Evergreen Pacific Partners"
"234","ABSENTIA","Astarc Ventures"
"235","Absynth Biologics","Alderley Park Ventures"
"236","Abtran","The Carlyle Group"
"237","acaia","WI Harper Group"
"238","Acast","Bonnier Growth Media"
"239","Accalio","Launcher"
"240","Accel Diagnostics","Innovation Works"
"241","Accela","ABRY Partners"
"242","Accela","Karlani Capital"
"243","Accela","Landmark Growth Capital Partners"
"244","Accelerated Pictures","Microsoft Ventures"
"245","Accelerated Pictures","Microsoft Ventures Accelerator Seattle"
"246","Accengage","Mobile First Alliance"
"247","Accengage","OTC Asset Management"
"248","Access Integrated Healthcare","Penta Mezzanine Fund"
"249","Access Integrated Healthcare","Victory Park Capital"
"250","Accio Energy","U.S. Department of Energy"
"251","Accion Systems","FF Science"
"252","Accion Systems","Founder Collective"
"253","Accion Systems","Founders Fund"
"254","Accion Systems","Galvanize Ventures"
"255","Accion Systems","Marek Olszewski"
"256","Accion Systems","RRE Ventures"
"257","Accion Systems","SDF Ventures"
"258","Accion Systems","Slow Ventures"
"259","Accion Systems","TechU Angels"
"260","Accolade","Independence Health Group"
"261","Accolade","McKesson Ventures"
"262","Accomplice","WME | IMG"
"263","Accreon","Mansa Capital"
"264","Accuitis","Bio/Med Investor Network"
"265","Accuitis","Georgia Research Alliance"
"266","Acculitx","9411 Associates"
"267","ACE-Africa Courier Express","Africa Angels Network"
"268","ACE-Africa Courier Express","Interswitch Inc."
"269","ACE-Africa Courier Express","Savannah Fund"
"270","ACEA BIO","Lilly Asia Ventures"
"271","ACEA BIO","QiMing Venture Partners"
"272","Aceable","FLOODGATE"
"273","Aceable","NextGen Angels"
"274","Aceable","Silverton Partners"
"275","Acelero Learning","Lucile Packard Foundation for Children’s Health"
"276","AchieveIt","BIP Capital"
"277","Aclaris Therapeutics","Aclaris Therapeutics"
"278","Aclaris Therapeutics","Aperture Venture Partners"
"279","Aclaris Therapeutics","Cormorant Asset Management"
"280","Aclaris Therapeutics","F-Prime Capital Partners"
"281","Aclaris Therapeutics","Mossrock Capital"
"282","Aclaris Therapeutics","RA Capital Management"
"283","Aclaris Therapeutics","Rock Springs Capital"
"284","Aclaris Therapeutics","Sofinnova Ventures"
"285","Aclaris Therapeutics","Vivo Capital"
"286","aCommerce","Ardent Capital"
"287","aCommerce","Indonesian conglomerate Sinarmas"
"288","aCommerce","Inspire Ventures"
"289","Acorns","e.ventures"
"290","Acorns","Garland Capital Group"
"291","Acorns","Great Oaks Venture Capital"
"292","Acorns","Greycroft Partners"
"293","Acorns","Math Venture Partners"
"294","Acorns","Sound Ventures"
"295","Acquia","Centerview Capital"
"296","Acquia","New Enterprise Associates"
"297","Acquia","Split Rock Partners"
"298","Acro Aircraft Seating","Business Growth Fund"
"299","Acrobatiq","Bill & Melinda Gates Foundation"
"300","Acrobatiq","Carnegie Innovations"
"301","Acrobatiq","Draper Triangle"
"302","Acrobatiq","Hearst Ventures"
"303","ACS Clothing","Business Growth Fund"
"304","ACT (Atria Convergence Technologies Pvt. Ltd.)","TA Associates"
"305","ACT.md","Rose Park Advisors"
"306","Actiance","Credit Suisse NEXT Investors"
"307","Actiance","Golub Capital"
"308","Actiance","JK&B Capital"
"309","Actiance","Scale Venture Partners"
"310","Actiance","Sutter Hill Ventures"
"311","Actifile","Samurai Incubate"
"312","Actility","Bpifrance"
"313","Actility","Ginko Ventures"
"314","Actility","Idinvest Partners"
"315","Actility","KPN"
"316","Actility","Orange Digital Ventures"
"317","Actility","Swisscom"
"318","Actility","Truffle Capital"
"319","Action Plan Manager a.s.","Neulogy Ventures"
"320","Actions","P101"
"321","ActionSprout","Bellingham Angel Fund"
"322","ActionSprout","Oregon Angel Fund"
"323","ActionSprout","Portland Seed Fund"
"324","ActionSprout","The R-Group, LLC"
"325","Activate Healthcare","Spring Mountain Capital"
"326","ActLight","Business Angels Switzerland (BAS)"
"327","ActLight","Frederic Falise"
"328","ActLight","Go Beyond Investing"
"329","ActLight","investiere | Verve Capital Partners AG"
"330","ActLight","Swisscom Ventures"
"331","AdAgility","Boston Seed Capital"
"332","AdAgility","Timothy McSweeney"
"333","AdAgility","Todd McSweeney"
"334","Adallom","BDS Venture Fund"
"335","Adallom","Hewlett Packard Ventures"
"336","Adallom","Index Ventures"
"337","Adallom","Rembrandt Venture Partners"
"338","Adallom","Sequoia Capital"
"339","Adaptive Biotechnologies","Matrix Capital"
"340","Adaptive Biotechnologies","Rock Springs Capital"
"341","Adaptive Biotechnologies","Senator Investment Group"
"342","Adaptive Biotechnologies","Tiger Management Corporation"
"343","Adaptive Insights","Bessemer Venture Partners"
"344","Adaptive Insights","Cardinal Venture Capital"
"345","Adaptive Insights","Information Venture Partners"
"346","Adaptive Insights","JMI Equity"
"347","Adaptive Insights","Monitor Ventures"
"348","Adaptive Insights","Norwest Venture Partners - NVP"
"349","Adaptive Insights","ONSET Ventures"
"350","AdaptiveWell Technologies","Frost Data Capital"
"351","ADARA","August Capital"
"352","ADARA","Morgenthaler Ventures"
"353","ADARA","ONSET Ventures"
"354","ADARA","QuestMark Partners"
"355","ADARA","World Innovation Lab"
"356","AdasWorks","Day One Capital Fund Management"
"357","AdasWorks","Inventure Oy"
"358","AdasWorks","Robert Bosch Venture Capital"
"359","ADC Therapeutics","AstraZeneca"
"360","ADC Therapeutics","Auven Therapeutics"
"361","Addex Therapeutics","Hercules Bioventure Partners"
"362","ADENTS HTI","CapHorn Invest"
"363","ADENTS HTI","Naxicap Partners"
"364","ADENTS HTI","Omnes Capital"
"365","AdHawk","Dave Balter"
"366","AdHawk","eonCapital"
"367","AdHawk","Jennifer Fremont-Smith"
"368","AdHawk","Margaret H. Lawrence"
"369","AdHawk","Matchstick Ventures"
"370","AdHawk","Rich Greenfield"
"371","AdHawk","Techstars"
"372","AdHawk","Techstars Ventures"
"373","AdHawk","Zelkova Ventures"
"374","Adhusky","Acceleprise San Francisco"
"375","Adhusky","Microsoft Ventures"
"376","Adhusky","Microsoft Ventures Accelerator Seattle"
"377","Adient Medical","Houston Angel Network"
"378","Adient Medical","Texas Halo Fund"
"379","Adient Medical","TMCx Accelerator"
"380","Adiply","Private Investment"
"381","Adjust","Highland Capital Partners Europe"
"382","Admera","Prime Value Capital Management"
"383","Admetsys","TMCx Accelerator"
"384","AdmitHub","Techstars"
"385","AdmitSee","Andrew S. Lerner"
"386","AdmitSee","Brian Costello"
"387","AdmitSee","Brigette Lau"
"388","AdmitSee","Damon Ball"
"389","AdmitSee","Dave Brown"
"390","AdmitSee","FOUNDER.org"
"391","AdmitSee","Geoffrey T. Barker"
"392","AdmitSee","Jere Doyle"
"393","AdmitSee","Li Yi"
"394","AdmitSee","Steve Eskenazi"
"395","AdmitSee","Steven Yu"
"396","AdmitSee","Team Builder Ventures"
"397","Admittance Technologies","UT Horizon Fund"
"398","AdMobilize","Azoic Ventures"
"399","AdMobilize","Rokk3r Labs"
"400","adMooH","BroadNeeds"
"401","Adnoviv","XLR8UH"
"402","Adora","Draper Associates"
"403","Adora","Eleven"
"404","Adored","Borealis Ventures"
"405","Adored","Boston Seed Capital"
"406","Adored","Kepha Partners"
"407","Adored","Matrix Partners"
"408","Adphorus","500 Startups"
"409","AdPushup","Microsoft Ventures"
"410","adRise","Cota Capital"
"411","adRise","Foundation Capital"
"412","adRise","Lionsgate"
"413","adRise","MGM"
"414","Adskom","500 Startups"
"415","Adskom","Convergence Ventures"
"416","Adskom","Convergent Ventures"
"417","Adskom","East Ventures"
"418","Adskom","Geniee"
"419","AdsNative","InterWest Partners"
"420","AdsNative","kbs+ Ventures"
"421","AdsNative","ONSET Ventures"
"422","AdsNative","Rakuten Ventures"
"423","AdStage","Silicon Valley Bank"
"424","AdStringO","Arihant Patni"
"425","AdStringO","Vishal Khare"
"426","AdStringO","Viswanath Ramachandran"
"427","AdtoApp","Run Capital Investment Fund"
"428","Adurcup","dineout"
"429","Aduro BioTech","Janus Capital Group"
"430","Aduro BioTech","OrbiMed"
"431","Advance Health","Choate, Hall & Stewart"
"432","Advance Health","Noro-Moseley Partners"
"433","Advance Health","Summit Partners"
"434","Advanced Cell Diagnostics","Kenson Ventures"
"435","Advanced Cell Diagnostics","Morningside Ventures"
"436","Advanced Cell Diagnostics","New Leaf Venture Partners"
"437","Advanced Cell Diagnostics","Summit Partners"
"438","Advanced LEDs","Angels Den"
"439","Advanced Microgrid Solutions","DBL Partners"
"440","Advanced Microgrid Solutions","Engie"
"441","Advanced Practice Strategies","Ascension Ventures"
"442","Advanced Practice Strategies","River Cities Capital Funds"
"443","Adventure Bucket List","Travel Startups Incubator"
"444","advisorCONNECT","Entrepreneurs Roundtable Accelerator"
"445","advisorCONNECT","Harvard Business School Angels"
"446","advisorCONNECT","Where Angels Fund"
"447","advocado","Mittelständische Beteiligungsgesellschaft Mecklenburg-Vorpommern"
"448","Advwhere","Opium Ventures"
"449","AdWerx","SeventySix Capital"
"450","AdWyze","Mape Advisory"
"451","AdYapper","Flatiron Investors"
"452","AdYapper","KGC Capital"
"453","Adyen","Iconiq Capital"
"454","Adzuna","Index Ventures"
"455","Adzuna","Passion Capital"
"456","Adzuna","The Accelerator Group"
"457","AEGEA Medical","Alloy Ventures"
"458","AEGEA Medical","BioMed Ventures"
"459","AEGEA Medical","Covidien"
"460","AEGEA Medical","Delphi Ventures"
"461","AEGEA Medical","Medtronic"
"462","AEGEA Medical","Solas BioVentures"
"463","Aeglea BioTherapeutics","Lilly Ventures"
"464","Aeglea BioTherapeutics","New Ground Ventures"
"465","Aeglea BioTherapeutics","Novartis Venture Fund"
"466","Aeglea BioTherapeutics","UT Horizon Fund"
"467","Aeglea BioTherapeutics","Venrock"
"468","Aeris Cleantec AG","PreAngel"
"469","Aeris Cleantec AG","Vic Lee"
"470","AeroFS","Avalon Ventures"
"471","AeroFS","NHN Investment"
"472","AeroGrow International","Scotts Miracle-Gro"
"473","Aeroxo","I2BF Global Ventures"
"474","Aeroxo","Skolkovo Foundation"
"475","Aeryon Labs","Venture Capital Firms"
"476","Aether Ventures Inc.","Hsiang Pai"
"477","Aevena","Social Starts"
"478","AFC Holdings","Incline Equity Partners"
"479","Affective Systems Plc","SyndicateRoom"
"480","Afferent Pharmaceuticals","Fidelity Management and Research Company"
"481","Afferent Pharmaceuticals","Jennison Associates"
"482","Afferent Pharmaceuticals","New Leaf Venture Partners"
"483","Afferent Pharmaceuticals","Partner Fund Management (PFM)"
"484","Afferent Pharmaceuticals","Redmile Group"
"485","Afferent Pharmaceuticals","Tekla Capital Management"
"486","Affero Lab","Bertelsmann"
"487","Affero Lab","IFC"
"488","Affinio","Brave Ventures"
"489","Affinio","Build Ventures"
"490","Affinio","Social Starts"
"491","Affinio","Whitecap Venture Partners"
"492","Affiniti","Carthona Capital"
"493","Affinity Technology","Indie Bio"
"494","Affinity Wulfrun","Indie Bio"
"495","Affinity Wulfrun","SOSV"
"496","AffinityLive","Blackbird Ventures (Australia)"
"497","AffinityLive","Rothenberg Ventures"
"498","AffinityLive","Sandy Kory"
"499","Affirm","Andreessen Horowitz"
"500","Affirm","Jefferies Group"
"501","Affirm","Khosla Ventures"
"502","Affirm","Lightspeed Venture Partners"
"503","Affirm","Spark Capital"
"504","AFINITY","Allen DeBevoise"
"505","AFINITY","Amplify.LA"
"506","AFINITY","Canyon Creek Capital"
"507","AFINITY","Demarest"
"508","AFINITY","Henry Shih"
"509","AFINITY","Sam Englebardt"
"510","AFINITY","Wavemaker Partners"
"511","Afribaba Holdings","Frontier Digital Ventures"
"512","Africa Bookings","Travel Startups Incubator"
"513","Africa Oil Corp","Helios Investment Partners"
"514","Afrimarket","Orange"
"515","Afrimarket","Orange Digital Ventures"
"516","Afrimax","Caribbean Fund"
"517","Afrimax","Four G Capital"
"518","Afrimax","International Finance Corporation"
"519","Afrimax","Latin American Media Group"
"520","Afrimax","Mitsui & Co., Ltd."
"521","Afrimax","the IFC African"
"522","Afrimax","THE WORLD BANK GROUP"
"523","Afrimax","Torreal"
"524","Afrostream","ACE & Company"
"525","Afrostream","Cross Culture Ventures"
"526","Afrostream","Orange Digital Ventures"
"527","Afrostream","TheFamily"
"528","AG&M","Trive Capital Holdings"
"529","AgBiome","Bill & Melinda Gates Foundation"
"530","AgBiome","Syngenta Ventures"
"531","Agency of Trillions (AoT)","Tony Robbins"
"532","Agenda Beleza","Valor Capital Group"
"533","Agentdesks","AngelPad"
"534","Agentdesks","Charles Oppenheimer"
"535","Agentdesks","Cota Capital"
"536","Agentdesks","Gokul Rajaram"
"537","Agentdesks","InnoSpring Seed Fund"
"538","Agentdesks","Kima Ventures"
"539","Agentdesks","Laks Srini"
"540","Agentdesks","Russ Fradin"
"541","Agentdesks","Sierra Ventures"
"542","Agentdesks","VegasTechFund"
"543","AgentRave","Victor Adebakin"
"544","Ageria","SOSV"
"545","AGERpoint","The Yield Lab"
"546","AgIC Inc.","East Ventures"
"547","AgileCraft","Crane Nelson"
"548","Agilence","Aster Capital"
"549","Agilence","Drayton Park Capital"
"550","Agilence","Granite Ventures"
"551","Agilence","Laurel Capital Partners"
"552","Agilence","Nextstage Capital"
"553","AgileSwitch","Robin Hood Ventures"
"554","Agility Recovery","LLR Partners"
"555","Agooz","Enrique Aguirre Oriza"
"556","Agora","GGV Capital"
"557","Agora","IDG Ventures"
"558","Agora","Morningside Group"
"559","Agora","Shunwei Capital"
"560","Agora","SIG"
"561","Agrible","Archer Daniels Midland Company"
"562","Agrible","Serra Ventures"
"563","Agribotix","Colorado Advanced Industry Program"
"564","AgriMetis","Acidophil"
"565","AgriMetis","Syngenta Ventures"
"566","Agrinnovation","Victor Smorgon Group"
"567","Agrinnovation","Yissum Research Development"
"568","Agrivida","ARCH Venture Partners"
"569","Agrivida","Bright Capital"
"570","Agrivida","Cultivian Sandbox Ventures"
"571","Agrivida","DAG Ventures"
"572","Agrivida","Gentry Venture Partners"
"573","Agrivida","Kleiner Perkins Caufield & Byers"
"574","Agrivida","Maschhoff Family Foods"
"575","Agrivida","Middleland Capital"
"576","Agrivida","Northgate Capital"
"577","Agrivida","Prairie Gold"
"578","Agrivida","PrairieGold Venture Partners"
"579","Agrivida","Sontag Family Trust"
"580","Agrosmart","Baita"
"581","Agrostar","Aavishkaar"
"582","Agrostar","IDG Ventures India"
"583","AHA Taxis","ah! Ventures"
"584","Ahalogy","CincyTech"
"585","Ahalogy","Hyde Park Venture Partners"
"586","Ahalogy","JobsOhio"
"587","Ahalogy","North Coast Angel Fund"
"588","Ahalogy","Origin Ventures"
"589","Ahalogy","Silicon Valley Bank"
"590","Ahalogy","Tim Kopp"
"591","Ahalogy","Trevor Wright"
"592","Ahalogy","Vine St. Ventures"
"593","Aheadx","AV Capital"
"594","Aheadx","ShenZhen"
"595","aihuishou","Tiantu Capital"
"596","Aim Software","Welsh, Carson, Anderson & Stowe"
"597","Aimbridge Hospitality","General Atlantic"
"598","AIO Robotics","Undisclosed"
"599","AIO Robotics","United Talent Agency"
"600","AIO Robotics","USC Viterbi Startup Garage"
"601","Aira","ARCH Venture Partners"
"602","Aira","Lux Capital"
"603","Airbitz","Damian Cutillo"
"604","Airbitz","Paul Puey"
"605","Airbitz","Plug & Play Ventures"
"606","Airbitz","Rick Henri Chan"
"607","Airbitz","Tim Horton"
"608","Airbitz","William Swanson"
"609","Airbnb","Baillie Gifford"
"610","Airbnb","China Broadband Capital"
"611","Airbnb","Fidelity Investments"
"612","Airbnb","FirstMark Capital"
"613","Airbnb","General Atlantic"
"614","Airbnb","GGV Capital"
"615","Airbnb","Hillhouse Capital Group"
"616","Airbnb","Horizon Ventures"
"617","Airbnb","Kleiner Perkins Caufield & Byers"
"618","Airbnb","Sequoia Capital"
"619","Airbnb","T. Rowe Price"
"620","Airbnb","Temasek Holdings"
"621","Airbnb","Tiger Global Management"
"622","Airbnb","Wellington Management"
"623","Airbrake.io","Turn/River Capital"
"624","Aircall","Davy Kestens"
"625","Aircall","Michel Meyer"
"626","Aircall","Newfund"
"627","Aircall","Oleg Tscheltzoff"
"628","Aircall","Theo Martin"
"629","Aircuity","Rivas Capital"
"630","Aircuity","SourceSquared Management"
"631","Airdog, Inc","Base Ventures"
"632","Airdog, Inc","Carthona Capital"
"633","Airdog, Inc","Chris Hulls"
"634","Airdog, Inc","Dean Dorrell"
"635","Airdog, Inc","FlyCap"
"636","Airdog, Inc","Harry Cheung"
"637","Airdog, Inc","Imprimatur Capital"
"638","Airdog, Inc","IT-Farm"
"639","Airdog, Inc","Konstantin Othmer"
"640","Airdog, Inc","Seraph Group"
"641","Airdog, Inc","Vinny Lingham"
"642","Airdog, Inc","ZenStone Venture Capital"
"643","Aire","Andrew Mullinger"
"644","Aire","Peter Jackson"
"645","Aire","SparkLabs Global Ventures"
"646","Aire","Tom Glocer"
"647","Airinum","STING"
"648","AirMap","Bullpen Capital"
"649","AirMap","Haystack"
"650","AirMap","Legend Star"
"651","AirMap","Lux Capital"
"652","AirMap","Sky Dayton"
"653","AirMap","Social Capital"
"654","AirMap","TenOneTen Ventures"
"655","AirMap","Wonder Ventures"
"656","Airtable","Amitt Mahajan"
"657","Airtable","Ashton Kutcher"
"658","Airtable","Benjamin Ling"
"659","Airtable","BoxGroup"
"660","Airtable","Caffeinated Capital"
"661","Airtable","CrunchFund"
"662","Airtable","CRV"
"663","Airtable","Data Collective"
"664","Airtable","Eric Wu"
"665","Airtable","Founder Collective"
"666","Airtable","Freestyle Capital"
"667","Airtable","Hammerstone Capital"
"668","Airtable","Kevin Mahaffey"
"669","Airtable","Michael Birch"
"670","Airtable","Othman Laraki"
"671","Airtable","Raymond Tonsing"
"672","Airtable","Shan Mehta"
"673","Airtable","Villi Iltchev"
"674","AIRTAME","Seed Capital"
"675","Airtasker","Black Sheep Capital"
"676","Airtasker","Carthona Capital"
"677","Airtasker","Exto Partners"
"678","Airtasker","Morning Crest Capital"
"679","Airviz","Infosys"
"680","AirVM","Build Ventures"
"681","AirVM","Rho Canada Ventures"
"682","AirVM","Wesley Clover"
"683","Airware","Intel Capital"
"684","Aiwujiwu","Banyan Capital Partners"
"685","Aiwujiwu","GGV Capital"
"686","Aiwujiwu","Morningside Group"
"687","Aiwujiwu","Shunwei Capital"
"688","Aiyingshi","Partners Group"
"689","Akabotics","XLR8UH"
"690","Akadeum Life Sciences","Invest Detroit"
"691","Akadeum Life Sciences","Michigan eLab"
"692","Akanda Inc","Double M Partners"
"693","Akanda Inc","Henrik Rosendahl"
"694","Akanda Inc","Matt Ocko"
"695","Akanda Inc","New Dream Networks"
"696","Akanda Inc","Rincon Venture Partners"
"697","Akanda Inc","Simon Anderson"
"698","Akanda Inc","The Fabric"
"699","Akari Therapeutics","Deerfield"
"700","Akari Therapeutics","Foresite Capital"
"701","Akari Therapeutics","New Enterprise Associates"
"702","Akari Therapeutics","QVT Financial"
"703","Akari Therapeutics","RA Capital Management"
"704","Akari Therapeutics","Venrock"
"705","Akari Therapeutics","Vivo Capital"
"706","Akdemia","Techstars"
